# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       6.957729352772e+13       1.561351969922e-25       6.661139195785e-09       1.044467819472e+22       1.415326394590e+04       2.034178570091e-10       9.847457999393e+17       3.846022672890e-09       6.448358833359e+43       8.394777814637e+32       4.494536459115e+33       1.483797870437e+43       4.945992901456e+42       3.463310090800e-08       2.976973554787e+43       1.090913025912e+44       4.056619919214e-06       2.756856953006e+00 
       6.909363806129e+13       1.583287403747e-25       6.708432920277e-09       1.029997386193e+22       1.415326394590e+04       2.048417820081e-10       9.779004964640e+17       3.872944831600e-09       6.270920781994e+43       8.220927050522e+32       4.401457331232e+33       1.442968535477e+43       4.809895118255e+42       3.463310090800e-08       2.895056837653e+43       1.060894615565e+44       4.134631840737e-06       2.704840784082e+00 
       6.861334464875e+13       1.605531008482e-25       6.755726644769e-09       1.015727431508e+22       1.415326394590e+04       2.062756744822e-10       9.711027770248e+17       3.900055445421e-09       6.098365253901e+43       8.050676630436e+32       4.310305815712e+33       1.403262692217e+43       4.677542307391e+42       3.463310090800e-08       2.815394204549e+43       1.031702215118e+44       4.212643762261e-06       2.654751139932e+00 
       6.813638991932e+13       1.628087113620e-25       6.803020369262e-09       1.001655177914e+22       1.415326394590e+04       2.077196042036e-10       9.643523108489e+17       3.927355833539e-09       5.930557897776e+43       7.883951993435e+32       4.221041992872e+33       1.364649425789e+43       4.548831419295e+42       3.463310090800e-08       2.737923630347e+43       1.003313095441e+44       4.290655683784e-06       2.606482937388e+00 
       6.766275066466e+13       1.650960109479e-25       6.850314093754e-09       9.877778863880e+21       1.415326394590e+04       2.091736414330e-10       9.576487694627e+17       3.954847324373e-09       5.767368059232e+43       7.720680122688e+32       4.133626769738e+33       1.327098671997e+43       4.423662239991e+42       3.463310090800e-08       2.662584796651e+43       9.757051528371e+43       4.368667605307e-06       2.559938599220e+00 
       6.719240383780e+13       1.674154448057e-25       6.897607818246e-09       9.740928558562e+21       1.415326394590e+04       2.106378569230e-10       9.509918266759e+17       3.982531255644e-09       5.608668679066e+43       7.560789513495e+32       4.048021862931e+33       1.290581193920e+43       4.301937313068e+42       3.463310090800e-08       2.589319044834e+43       9.488568918301e+43       4.446679526831e-06       2.515027395725e+00 
       6.672532655193e+13       1.697674643898e-25       6.946720532142e-09       9.605974226654e+21       1.415326394590e+04       2.121123219215e-10       9.443811585660e+17       4.010408974433e-09       5.454336194339e+43       7.404210141978e+32       3.964189781896e+33       1.255068559141e+43       4.183561863802e+42       3.463310090800e-08       2.518069330364e+43       9.227474084314e+43       4.524691448354e-06       2.471664854420e+00 
       6.626149607938e+13       1.721525274970e-25       6.994014256634e-09       9.472889600656e+21       1.415326394590e+04       2.135971081749e-10       9.378164434617e+17       4.038481837254e-09       5.304250442161e+43       7.250873434411e+32       3.882093812485e+33       1.220533117609e+43       4.068443725363e+42       3.463310090800e-08       2.448780178391e+43       8.973563738621e+43       4.602703369877e-06       2.429772229769e+00 
       6.580088985043e+13       1.745710983558e-25       7.043126970530e-09       9.341648776990e+21       1.415326394590e+04       2.150922879322e-10       9.312973619282e+17       4.066751210114e-09       5.158294566141e+43       7.100712237187e+32       3.801698000878e+33       1.186947980117e+43       3.956493267057e+42       3.463310090800e-08       2.381397640553e+43       8.726640187263e+43       4.680715291400e-06       2.389276025940e+00 
       6.534348545226e+13       1.770236477166e-25       7.092239684425e-09       9.212226210954e+21       1.415326394590e+04       2.165979339477e-10       9.248235967510e+17       4.095218468585e-09       5.016354925399e+43       6.953660787410e+32       3.722967137837e+33       1.154286997361e+43       3.847623324535e+42       3.463310090800e-08       2.315869252977e+43       8.486511176178e+43       4.758727212924e-06       2.350107566498e+00 
